CHECKERS_GAME
RULE_MODE 0
PLAY_MODE 2
AI_LEVEL 0
SPEED 500
MOVES 48
MOVE G3-F4 0303030330303030030303030000000000000100101010000101010110101010
MOVE B6-C5 0303030330303030000303030030000000000100101010000101010110101010
MOVE F2-G3 0303030330303030000303030030000000000100101010100101000110101010
MOVE C7-B6 0303030330003030030303030030000000000100101010100101000110101010
MOVE F4-G5 0303030330003030030303030030001000000000101010100101000110101010
MOVE G7-H6 0303030330003030030303000030000000000300101010100101000110101010
MOVE G5-H6 0303030330003030030303000030001000000000101000100101000110101010
MOVE H4xF2 0303030330003030030300000030000000000000101000000101030110101010
MOVE A3-B4 0303030330003030030300000030000000000000101000100101000110100010
MOVE B8-C7 0003030330303030030300000030000000000000101000100101000110100010
MOVE G3-H4 0003030330303030030300000030000000000001101000000101000110100010
MOVE D6-E5 0003030330303030030000000030300000000001101000000101000110100010
MOVE D2-E3 0003030330303030030000000030300000000001101010000100000110100010
MOVE E5-D4 0003030330303030030000000030000000030001101010000100000110100010
MOVE E5-D6 0003030330303030030000000030100000000001100010000100000110100010
MOVE G7-F6 0003030330303000030003000030100000000001100010000100000110100010
MOVE H4-G5 0003030330303010030000000030000000000001100010000100000110100010
MOVE C7-D6 0003030030303000030003000030000000000001100010000100000110100010
MOVE G1-F2 0003030030303000030003000030000000000001100010000100010110100000
MOVE F8-G7 0003000030303030030003000030000000000001100010000100010110100000
MOVE H4-G5 0003000030303030030003000030001000000000100010000100010110100000
MOVE C7-D6 0003000030303030030000000030000000000003100010000100010110100000
MOVE E3-D4 0003000030303030030000000030000000010003100000000100010110100000
MOVE E3xG1 0003000030303030030000000000000000000003100000000100000110100040
MOVE B2-C3 0003000030303030030000000000000000000003101000000000000110100040
MOVE E7-F6 0003000030300030030003000000000000000003101000000000000110100040
MOVE C1-B2 0003000030300030030003000000000000000003101000000100000110000040
MOVE B6-A5 0003000030300030000003003000000000000003101000000100000110000040
MOVE A3-B4 0003000030300030000003003000000001000003001000000100000110000040
MOVE H4-G3 0003000030300030000003003000000001000000001000300100000110000040
MOVE B4-C5 0003000030300030000003003000000001000100001000000100000010000040
MOVE C7-B6 0003000030000030030003003000000001000100001000000100000010000040
MOVE F4-E5 0003000030000030030003003000100001000000001000000100000010000040
MOVE D8-C7 0003000030000030030000003000000001030000001000000100000010000040
MOVE E5-D6 0003000030000030030000003000100001000000000000000100000010000040
MOVE D8-C7 0003000030000030030000000000100000000000003000000100000010000040
MOVE E5-D6 0003000030000030030000000000100000010000000000000000000010000040
MOVE B6-C5 0003000030000030000000000030100000010000000000000000000010000040
MOVE B6-C7 0003000030000030010000000000100000000000000000000000000010000040
MOVE D8-C7 0003000000000030000000000030100000000000000000000000000010000040
MOVE E5-F6 0003000000000030000001000030000000000000000000000000000010000040
MOVE D8-C7 0003000000000000000000000030300000000000000000000000000010000040
MOVE A1-B2 0003000000000000000000000030300000000000000000000100000000000040
MOVE E5-F4 0003000000000000000000000030000000000300000000000100000000000040
MOVE B2-A3 0003000000000000000000000030000000000300100000000000000000000040
MOVE F4-E3 0003000000000000000000000030000000000000100030000000000000000040
MOVE A3-B4 0003000000000000000000000030000001000000000030000000000000000040
MOVE D8-C7 0003000000000000000000000000000000000000300030000000000000000040
