CHECKERS_GAME
RULE_MODE 0
PLAY_MODE 2
AI_LEVEL 2
SPEED 500
MOVES 139
MOVE G3-F4 0303030330303030030303030000000000000100101010000101010110101010
MOVE D6-E5 0303030330303030030003030000300000000100101010000101010110101010
MOVE A3-B4 0303030330303030030103030000000000000000101010000101010110101010
MOVE B8-C7 0303030330003030030003030000300000000000101010000101010110101010
MOVE E3-F4 0303030330003030030003030000300000000100101000000101010110101010
MOVE B8-C7 0303030330003030030003030000000000000000101000300101010110101010
MOVE H4-G5 0303030330003030030003030000000000000001101000000101000110101010
MOVE F6-G5 0303030330003030030000030000003000000001101000000101000110101010
MOVE A3-B4 0303030330003030030001030000000000000000101000000101000110101010
MOVE D8-C7 0303030330003000030000030000300000000000101000000101000110101010
MOVE G1-F2 0303030330003000030000030000300000000000101000000101010110101000
MOVE B6-C5 0303030330003000000000030030300000000000101000000101010110101000
MOVE F2-E3 0303030330003000000000030030300000000000101010000101000110101000
MOVE E5-F4 0303030330003000000000030030000000000300101010000101000110101000
MOVE G5-F6 0303030330003000000000030030001000000000101000000101000110101000
MOVE B8-C7 0303030330003000000000000030000000000300101000000101000110101000
MOVE E1-F2 0303030330003000000000000030000000000300101000000101010110100000
MOVE F8-G7 0303000330003030000000000030000000000300101000000101010110100000
MOVE F2-G3 0303000330003030000000000030000000000300101000100101000110100000
MOVE B8-C7 0003000330303030000000000030000000000300101000100101000110100000
MOVE E5-D6 0003000330303030000000000030100000000000101000000101000110100000
MOVE G7-F6 0003000330303000000003000030100000000000101000000101000110100000
MOVE G7-F8 0003000330303010000000000030000000000000101000000101000110100000
MOVE A7-B6 0003000030303000000003000030000000000000101000000101000110100000
MOVE C3-D4 0003000030303000000003000030000000010000100000000101000110100000
MOVE A7-B6 0003000030303000000003000000000000000000100030000101000110100000
MOVE F4-E5 0003000030303000000003000000000000000100100000000100000110100000
MOVE C7-D6 0003000030003000000303000000000000000100100000000100000110100000
MOVE B2-C3 0003000030003000000303000000000000000100101000000000000110100000
MOVE A7-B6 0003000000003000030303000000000000000100101000000000000110100000
MOVE C3-D4 0003000000003000030303000000000000010100100000000000000110100000
MOVE D6-C5 0003000000003000030003000030000000010100100000000000000110100000
MOVE F4-E5 0003000000003000030003000030100000010000100000000000000110100000
MOVE F6xD4 0003000000003000030000000000000000030000100030000000000110100000
MOVE C1-B2 0003000000003000030000000000000000030000100030000100000110000000
MOVE E3-D2 0003000000003000030000000000000000030000100000000103000110000000
MOVE B2-C3 0003000000003000030000000000000000030000101000000003000110000000
MOVE D8-C7 0003000000003000030000000000000000000000100000000303000110000000
MOVE A3-B4 0003000000003000030000000000000000000000101000000003000100000000
MOVE E7-D6 0003000000000000030300000000000000000000101000000003000100000000
MOVE A3-B4 0003000000000000030300000000000001000000001000000003000100000000
MOVE B6-A5 0003000000000000000300003000000001000000001000000003000100000000
MOVE H2-G3 0003000000000000000300003000000001000000001000100003000000000000
MOVE D2-C1 0003000000000000000300003000000001000000001000100000000000400000
MOVE C3-D4 0003000000000000000300003000000001010000000000100000000000400000
MOVE D8-C7 0003000000000000000300000000000000010000003000100000000000400000
MOVE G3-F4 0003000000000000000300000000000000010100003000000000000000400000
MOVE C3-B2 0003000000000000000300000000000000010100000000000300000000400000
MOVE D4-E5 0003000000000000000300000000100000000100000000000300000000400000
MOVE D8-C7 0000000000300000000300000000100000000100000000000300000000400000
MOVE E5-F6 0000000000300000000301000000000000000100000000000300000000400000
MOVE D6-E5 0000000000300000000001000000300000000100000000000300000000400000
MOVE F4xD6 0000000000000000000101000000000000000000000000000300000000400000
MOVE B2-A1 0000000000000000000101000000000000000000000000000000000040400000
MOVE F6-E7 0000000000001000000100000000000000000000000000000000000040400000
MOVE A1-B2 0000000000001000000100000000000000000000000000000400000000400000
MOVE E7-D8 0002000000000000000100000000000000000000000000000400000000400000
MOVE B2-C3 0002000000000000000100000000000000000000004000000000000000400000
MOVE D6-C7 0002000000100000000000000000000000000000004000000000000000400000
MOVE C3-B4 0002000000100000000000000000000004000000000000000000000000400000
MOVE D8-E7 0000000000102000000000000000000004000000000000000000000000400000
MOVE B4-A5 0000000000102000000000004000000000000000000000000000000000400000
MOVE C7-B8 0200000000002000000000004000000000000000000000000000000000400000
MOVE C1-B2 0200000000002000000000004000000000000000000000000400000000000000
MOVE E7-D6 0200000000000000000200004000000000000000000000000400000000000000
MOVE B2-A3 0200000000000000000200004000000000000000400000000000000000000000
MOVE B8-A7 0000000020000000000200004000000000000000400000000000000000000000
MOVE A3-B4 0000000020000000000200004000000004000000000000000000000000000000
MOVE A7-B8 0200000000000000000200004000000004000000000000000000000000000000
MOVE A5-B6 0200000000000000040200000000000004000000000000000000000000000000
MOVE B8-A7 0000000020000000040200000000000004000000000000000000000000000000
MOVE B6-C5 0000000020000000000200000040000004000000000000000000000000000000
MOVE D6-E5 0000000020000000000000000040200004000000000000000000000000000000
MOVE B4-A5 0000000020000000000000004040200000000000000000000000000000000000
MOVE A7-B8 0200000000000000000000004040200000000000000000000000000000000000
MOVE A5-B6 0200000000000000040000000040200000000000000000000000000000000000
MOVE B8-A7 0000000020000000040000000040200000000000000000000000000000000000
MOVE B6-C7 0000000020400000000000000040200000000000000000000000000000000000
MOVE A7-B8 0200000000400000000000000040200000000000000000000000000000000000
MOVE C7-B6 0200000000000000040000000040200000000000000000000000000000000000
MOVE B8-A7 0000000020000000040000000040200000000000000000000000000000000000
MOVE B6-C7 0000000020400000000000000040200000000000000000000000000000000000
MOVE A7-B8 0200000000400000000000000040200000000000000000000000000000000000
MOVE C7-B6 0200000000000000040000000040200000000000000000000000000000000000
MOVE B8-A7 0000000020000000040000000040200000000000000000000000000000000000
MOVE B6-C7 0000000020400000000000000040200000000000000000000000000000000000
MOVE A7-B8 0200000000400000000000000040200000000000000000000000000000000000
MOVE C7-B6 0200000000000000040000000040200000000000000000000000000000000000
MOVE B8-A7 0000000020000000040000000040200000000000000000000000000000000000
MOVE B6-C7 0000000020400000000000000040200000000000000000000000000000000000
MOVE A7-B8 0200000000400000000000000040200000000000000000000000000000000000
MOVE C7-B6 0200000000000000040000000040200000000000000000000000000000000000
MOVE B8-A7 0000000020000000040000000040200000000000000000000000000000000000
MOVE B6-C7 0000000020400000000000000040200000000000000000000000000000000000
