CHECKERS_GAME
RULE_MODE 0
PLAY_MODE 2
AI_LEVEL 1
SPEED 500
MOVES 94
MOVE E3-D4 0303030330303030030303030000000000010000101000100101010110101010
MOVE F6-E5 0303030330303030030300030000300000010000101000100101010110101010
MOVE A3-B4 0303030330303030030301030000000000000000101000100101010110101010
MOVE H8-G7 0303030330303000030300030000300000000000101000100101010110101010
MOVE C3-D4 0303030330303000030300030000300000010000100000100101010110101010
MOVE F8-G7 0303030330303000030300030000000000000000103000100101010110101010
MOVE D4-C5 0303030330303000030300030000000000010000100000100001010110101010
MOVE B6-C5 0303030330303000000300030030000000010000100000100001010110101010
MOVE A3-B4 0303030330303000010300030000000000000000100000100001010110101010
MOVE D8-C7 0303030330003000000300033000000000000000100000100001010110101010
MOVE G3-H4 0303030330003000000300033000000000000001100000000001010110101010
MOVE A7-B6 0303030300003000030300033000000000000001100000000001010110101010
MOVE A3-B4 0303030300003000030300033000000001000001000000000001010110101010
MOVE B8-A7 0303030300003000030300030000000000000001003000000001010110101010
MOVE B4-A5 0303030300003000030300030000000001000001000000000000010110101010
MOVE B6-A5 0303030300003000000300033000000001000001000000000000010110101010
MOVE C1-B2 0303030300003000000300033000000001000001000000000100010110001010
MOVE B8-A7 0303030300003000000300030000000000000001003000000100010110001010
MOVE D4-C5 0303030300003000000300030000000000010001000000000000010110001010
MOVE D8-C7 0300030300303000000300030000000000010001000000000000010110001010
MOVE F2-E3 0300030300303000000300030000000000010001000010000000000110001010
MOVE F8-G7 0300000300303030000300030000000000010001000010000000000110001010
MOVE E1-D2 0300000300303030000300030000000000010001000010000001000110000010
MOVE D6-E5 0300000300303030000000030000300000010001000010000001000110000010
MOVE D4xF6 0300000300300030000001030000000000000001000010000001000110000010
MOVE B8-A7 0300000300300000000000030000300000000001000010000001000110000010
MOVE E3-F4 0300000300300000000000030000300000000101000000000001000110000010
MOVE B8-A7 0300000300300000000000030000000000000001000000300001000110000010
MOVE F4-E5 0300000300300000000000030000000000000101000000000001000010000010
MOVE C7-D6 0300000300000000000300030000000000000101000000000001000010000010
MOVE G1-F2 0300000300000000000300030000000000000101000000000001010010000000
MOVE B8-A7 0000000330000000000300030000000000000101000000000001010010000000
MOVE F2-E3 0000000330000000000300030000000000000101000010000001000010000000
MOVE A7-B6 0000000300000000030300030000000000000101000010000001000010000000
MOVE F4-E5 0000000300000000030300030000100000000001000010000001000010000000
MOVE H8-G7 0000000300000000030000030000000000000301000010000001000010000000
MOVE G5-F6 0000000300000000030000030000001000000001000000000001000010000000
MOVE H8-G7 0000000300000000030000000000000000000301000000000001000010000000
MOVE A1-B2 0000000300000000030000000000000000000301000000000101000000000000
MOVE B6-A5 0000000300000000000000003000000000000301000000000101000000000000
MOVE B2-C3 0000000300000000000000003000000000000301001000000001000000000000
MOVE H8-G7 0000000000000030000000003000000000000301001000000001000000000000
MOVE H4-G5 0000000000000030000000003000001000000300001000000001000000000000
MOVE G7-H6 0000000000000000000000033000001000000300001000000001000000000000
MOVE C3-D4 0000000000000000000000033000001000010300000000000001000000000000
MOVE F4-G3 0000000000000000000000033000001000010000000000300001000000000000
MOVE G5-F6 0000000000000000000001033000000000010000000000300001000000000000
MOVE G3-F2 0000000000000000000001033000000000010000000000000001030000000000
MOVE F6-E7 0000000000001000000000033000000000010000000000000001030000000000
MOVE F2-E1 0000000000001000000000033000000000010000000000000001000000004000
MOVE D2-C3 0000000000001000000000033000000000010000001000000000000000004000
MOVE E1-D2 0000000000001000000000033000000000010000001000000004000000000000
MOVE C3-B4 0000000000001000000000033000000001010000000000000004000000000000
MOVE H6-G5 0000000000001000000000030000000000010000003000000004000000000000
MOVE D4-E5 0000000000001000000000030000100000000000003000000004000000000000
